Date,Close/Last,Volume,Open,High,Low
12/06/2022,$149.28,6866696,$149.72,$150.08,$148.275
12/05/2022,$149.09,5402575,$148.71,$149.6705,$148.27
12/02/2022,$150.61,4938278,$148.47,$150.77,$148.08
12/01/2022,$149.25,6927461,$149.53,$150.36,$148.57
11/30/2022,$149.16,12396780,$145.65,$149.16,$145.13
11/29/2022,$145.48,5634161,$145.75,$146.06,$144.53
11/28/2022,$146.6,6628288,$146.39,$147.34,$146.14
11/25/2022,$146.72,2411113,$146.785,$147.2,$146.4
11/23/2022,$146.45,4296014,$145.9,$146.63,$145.57
11/22/2022,$145.62,5372884,$145.43,$145.785,$144.84
11/21/2022,$144.38,6377188,$143.06,$145.19,$142.83
11/18/2022,$142.57,5671628,$141.92,$142.76,$141.27
11/17/2022,$140.87,5189514,$141.11,$141.69,$139.86
11/16/2022,$141.74,6193736,$141.5,$142.91,$140.98
11/15/2022,$140.49,7732354,$142.09,$143.2,$139.7
11/14/2022,$140.98,8516206,$140.51,$143.56,$140.26
11/11/2022,$140.97,7175228,$141.2,$141.63,$139.1091
11/10/2022,$141.18,8068902,$139.46,$141.63,$138.2
11/09/2022,$136.48,5690881,$136.87,$137.97,$136.34
11/08/2022,$136.81,5266204,$136.82,$137.52,$135.8
11/07/2022,$136.5,6746778,$135.35,$137.19,$135.06
11/04/2022,$134.44,5555471,$133.32,$135,$132.52
11/03/2022,$132.03,5204163,$131.73,$132.64,$130.96
11/02/2022,$132.94,7326827,$134.72,$136.54,$132.81
11/01/2022,$134.88,6428377,$134.7,$136.28,$133.84
10/31/2022,$134.67,8346305,$135.2,$135.67,$134.26
10/28/2022,$135.22,6996421,$133.17,$135.51,$132.92
10/27/2022,$131.88,6676715,$132,$133.12,$131.5
10/26/2022,$131.78,6613656,$130.65,$132.57,$130.4
10/25/2022,$130.86,6776004,$129.6,$131.18,$128.47
10/24/2022,$129.37,6946022,$129.49,$130.44,$128.35
10/21/2022,$128.58,6394604,$126.54,$128.95,$126.48
10/20/2022,$126.99,8167987,$128.62,$129.77,$126.68
10/19/2022,$129.56,9993668,$131.64,$133,$129.51
10/18/2022,$128.37,7114181,$129.33,$130.065,$127.66
10/17/2022,$127.34,6664569,$126.01,$128.28,$125.86
10/14/2022,$125.08,5520319,$126.75,$127.02,$124.765
10/13/2022,$126.31,6910826,$123.51,$126.75,$122.92
